d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
25,bit-flip,0.095,6,0,500,30,535.3264585960424,GPA-4-1,2497494
25,bit-flip,0.085,6,0,500,15,540.0098204190144,GPA-4-1,2497499
25,bit-flip,0.08,6,0,500,5,543.9557241189759,GPA-4-1,2497491
25,bit-flip,0.105,6,0,500,62,545.0695942809107,GPA-4-1,2497500
25,bit-flip,0.1,6,0,500,46,550.0159332670737,GPA-4-1,2497495
25,bit-flip,0.115,6,0,500,122,550.7482456170255,GPA-4-1,2497496
25,bit-flip,0.09,6,0,500,17,552.9897350349929,GPA-4-1,2497498
25,bit-flip,0.12,6,0,500,135,559.7307709099259,GPA-4-1,2497508
25,bit-flip,0.11,6,0,500,78,580.4557769739768,GPA-4-1,2497502
25,bit-flip,0.09,6,1,1000,39,1079.1719362820731,GPA-4-1,2497497
25,bit-flip,0.1,6,1,1000,80,1083.9016956790583,GPA-4-1,2497514
25,bit-flip,0.11,6,1,1000,169,1087.8571670319652,GPA-4-1,2497513
25,bit-flip,0.115,6,1,1000,215,1087.864352725097,GPA-4-1,2497511
25,bit-flip,0.085,6,1,1000,25,1090.9004965580534,GPA-4-1,2497503
25,bit-flip,0.095,6,1,1000,63,1098.679159861058,GPA-4-1,2497504
25,bit-flip,0.105,6,1,1000,136,1101.1892531129997,GPA-4-1,2497516
25,bit-flip,0.08,6,1,1000,12,1119.2653993030544,GPA-4-1,2497505
25,bit-flip,0.12,6,1,1000,251,1121.3110314449295,GPA-4-1,2497507
25,bit-flip,0.1,6,2,2000,165,2155.4338882889133,GPA-4-1,2497517
25,bit-flip,0.08,6,2,2000,25,2162.0817701739725,GPA-4-1,2497501
25,bit-flip,0.095,6,2,2000,139,2169.1352258599363,GPA-4-1,2497510
25,bit-flip,0.11,6,2,2000,317,2181.9106932979776,GPA-4-1,2497506
25,bit-flip,0.115,6,2,2000,399,2184.7013637759956,GPA-4-1,2497524
25,bit-flip,0.09,6,2,2000,69,2190.07646916504,GPA-4-1,2497512
25,bit-flip,0.12,6,2,2000,490,2215.1321147809504,GPA-4-1,2497519
25,bit-flip,0.085,6,2,2000,41,2217.506753877038,GPA-4-1,2497509
25,bit-flip,0.105,6,2,2000,266,2244.8561918289633,GPA-4-1,2497515
25,bit-flip,0.085,6,3,4000,94,4250.325120065012,GPA-4-1,2497527
25,bit-flip,0.08,6,3,4000,38,4284.961300514988,GPA-4-1,2497522
25,bit-flip,0.105,6,3,4000,514,4294.182184297009,GPA-4-1,2497518
25,bit-flip,0.095,6,3,4000,235,4298.381041504093,GPA-4-1,2497529
25,bit-flip,0.1,6,3,4000,356,4300.492860744009,GPA-4-1,2497530
25,bit-flip,0.09,6,3,4000,140,4306.962388720014,GPA-4-1,2497523
25,bit-flip,0.11,6,3,4000,663,4320.8143276630435,GPA-4-1,2497520
25,bit-flip,0.115,6,3,4000,812,4324.214776454959,GPA-4-1,2497525
25,bit-flip,0.12,6,3,4000,992,4390.987626179005,GPA-4-1,2497534
25,bit-flip,0.12,6,4,8000,1970,8583.412474088022,GPA-4-1,2497535
25,bit-flip,0.095,6,4,8000,488,8595.453970320057,GPA-4-1,2497531
25,bit-flip,0.11,6,4,8000,1289,8643.556179428007,GPA-4-1,2497541
25,bit-flip,0.08,6,4,8000,109,8659.096212961944,GPA-4-1,2497532
25,bit-flip,0.105,6,4,8000,997,8666.643913134933,GPA-4-1,2497521
25,bit-flip,0.09,6,4,8000,281,8670.141088300967,GPA-4-1,2497528
25,bit-flip,0.085,6,4,8000,193,8711.00766567199,GPA-4-1,2497536
25,bit-flip,0.1,6,4,8000,758,8735.29565827502,GPA-4-1,2497540
25,bit-flip,0.115,6,4,8000,1674,8886.776975226938,GPA-4-1,2497538
25,bit-flip,0.085,6,5,16000,344,17085.113888617023,GPA-4-1,2497543
25,bit-flip,0.08,6,5,16000,167,17126.884396893904,GPA-4-1,2497526
25,bit-flip,0.12,6,5,16000,4118,17137.37993167399,GPA-4-1,2497555
25,bit-flip,0.1,6,5,16000,1403,17143.02909201896,GPA-4-1,2497545
25,bit-flip,0.095,6,5,16000,945,17269.038360745064,GPA-4-1,2497539
25,bit-flip,0.115,6,5,16000,3352,17276.63672476902,GPA-4-1,2497537
25,bit-flip,0.105,6,5,16000,1960,17413.820594421937,GPA-4-1,2497544
25,bit-flip,0.11,6,5,16000,2584,17640.068146329024,GPA-4-1,2497542
25,bit-flip,0.09,6,5,16000,617,18436.66375190008,GPA-4-1,2497533
25,bit-flip,0.1,6,6,32000,2864,33962.24065074092,GPA-4-1,2497550
25,bit-flip,0.085,6,6,32000,681,34083.95508226007,GPA-4-1,2497547
25,bit-flip,0.08,6,6,32000,379,34124.407061150996,GPA-4-1,2497552
25,bit-flip,0.12,6,6,32000,8230,34206.33617154602,GPA-4-1,2497556
25,bit-flip,0.105,6,6,32000,3920,34376.42355074291,GPA-4-1,2497549
25,bit-flip,0.095,6,6,32000,1859,34404.316104355035,GPA-4-1,2497551
25,bit-flip,0.11,6,6,32000,5441,34461.89644150203,GPA-4-1,2497548
25,bit-flip,0.09,6,6,32000,1214,34508.82837026403,GPA-4-1,2497553
25,bit-flip,0.115,6,6,32000,6616,34667.371418742,GPA-4-1,2497546
25,bit-flip,0.1,6,7,50000,4472,52656.00154247403,GPA-4-1,2497500
25,bit-flip,0.085,6,7,50000,1046,53500.41034125106,GPA-4-1,2497494
25,bit-flip,0.085,6,8,50000,1069,53002.07626895304,GPA-4-1,2497497
25,bit-flip,0.12,6,8,50000,12779,53005.92502633494,GPA-4-1,2497505
25,bit-flip,0.08,6,7,50000,600,54130.298803967074,GPA-4-1,2497554
25,bit-flip,0.09,6,8,50000,1907,53427.918525983,GPA-4-1,2497514
25,bit-flip,0.105,6,7,50000,6328,54109.75683267508,GPA-4-1,2497495
25,bit-flip,0.095,6,8,50000,2881,53700.811269975966,GPA-4-1,2497513
25,bit-flip,0.105,6,8,50000,6254,53700.80476543994,GPA-4-1,2497503
25,bit-flip,0.095,6,7,50000,2909,54468.7573054689,GPA-4-1,2497491
25,bit-flip,0.115,6,7,50000,10603,54587.84974475601,GPA-4-1,2497498
25,bit-flip,0.11,6,9,50000,8318,53168.14297989698,GPA-4-1,2497512
25,bit-flip,0.09,6,7,50000,1820,54843.07179389009,GPA-4-1,2497499
25,bit-flip,0.08,6,9,50000,564,54311.77356934,GPA-4-1,2497507
25,bit-flip,0.11,6,7,50000,8219,54931.517322400934,GPA-4-1,2497496
25,bit-flip,0.09,6,9,50000,1950,53399.93298044603,GPA-4-1,2497501
25,bit-flip,0.11,6,8,50000,8355,54470.98906833306,GPA-4-1,2497504
25,bit-flip,0.12,6,7,50000,12727,55234.285128096,GPA-4-1,2497508
25,bit-flip,0.1,6,8,50000,4489,54722.545803316985,GPA-4-1,2497511
25,bit-flip,0.095,6,9,50000,2898,54064.83020998398,GPA-4-1,2497510
25,bit-flip,0.115,6,8,50000,10270,55164.824046464055,GPA-4-1,2497516
25,bit-flip,0.085,6,9,50000,1132,54141.49863969302,GPA-4-1,2497517
25,bit-flip,0.115,6,9,50000,10426,54335.27683174901,GPA-4-1,2497519
25,bit-flip,0.12,6,9,50000,12757,54335.54230459698,GPA-4-1,2497509
25,bit-flip,0.1,6,9,50000,4348,54508.65547797992,GPA-4-1,2497506
25,bit-flip,0.08,6,8,50000,558,56212.280880782986,GPA-4-1,2497502
25,bit-flip,0.08,6,10,50000,574,54734.31521271006,GPA-4-1,2497515
