d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
25,depolarize,0.165,6,0,500,43,1252.449373466894,GPA-2-13,3789537
25,depolarize,0.17,6,0,500,44,1263.8278963444754,GPA-2-13,3789540
25,depolarize,0.16,6,0,500,32,1264.6172699416056,GPA-2-13,3789531
25,depolarize,0.175,6,0,500,69,1270.2917710365728,GPA-2-13,3789539
25,depolarize,0.2,6,0,500,190,1270.758461849764,GPA-2-13,3789549
25,depolarize,0.19,6,0,500,128,1272.3579374710098,GPA-2-13,3789544
25,depolarize,0.195,6,0,500,160,1276.5931391380727,GPA-2-13,3789550
25,depolarize,0.18,6,0,500,80,1288.4869446195662,GPA-2-13,3789541
25,depolarize,0.185,6,0,500,84,1303.7485361890867,GPA-2-13,3789546
25,depolarize,0.195,6,1,1000,324,2545.3565164078027,GPA-2-13,3789554
25,depolarize,0.16,6,1,1000,39,2568.960949580185,GPA-2-13,3789551
25,depolarize,0.17,6,1,1000,79,2580.544708358124,GPA-2-13,3789553
25,depolarize,0.165,6,1,1000,58,2586.3911969261244,GPA-2-13,3789542
25,depolarize,0.18,6,1,1000,155,2600.3059253394604,GPA-2-13,3789534
25,depolarize,0.175,6,1,1000,108,2614.826609581709,GPA-2-13,3789558
25,depolarize,0.2,6,1,1000,367,2639.050831942819,GPA-2-13,3789535
25,depolarize,0.185,6,1,1000,205,2643.6395859299228,GPA-2-13,3789555
25,depolarize,0.19,6,1,1000,273,2650.5815915353596,GPA-2-13,3789548
25,depolarize,0.19,6,2,2000,521,5127.438166148029,GPA-2-13,3789578
25,depolarize,0.185,6,2,2000,408,5143.527617964894,GPA-2-13,3789562
25,depolarize,0.195,6,2,2000,649,5205.100716799498,GPA-2-13,3789561
25,depolarize,0.165,6,2,2000,127,5218.518385786563,GPA-2-13,3789538
25,depolarize,0.2,6,2,2000,749,5277.207203105092,GPA-2-13,3789547
25,depolarize,0.18,6,2,2000,298,5288.280178466812,GPA-2-13,3789543
25,depolarize,0.17,6,2,2000,168,5289.933225121349,GPA-2-13,3789536
25,depolarize,0.175,6,2,2000,246,5310.697225816548,GPA-2-13,3789545
25,depolarize,0.16,6,2,2000,100,5354.085461626761,GPA-2-13,3789556
25,depolarize,0.165,6,3,4000,228,10600.67028491944,GPA-2-13,3789577
25,depolarize,0.17,6,3,4000,375,10647.569329524413,GPA-2-13,3789581
25,depolarize,0.19,6,3,4000,1014,10700.030233949423,GPA-2-13,3789564
25,depolarize,0.175,6,3,4000,442,10711.696100581437,GPA-2-13,3789573
25,depolarize,0.185,6,3,4000,831,10816.053858458064,GPA-2-13,3789574
25,depolarize,0.2,6,3,4000,1458,10847.077401669696,GPA-2-13,3789570
25,depolarize,0.18,6,3,4000,670,10865.206713816151,GPA-2-13,3789557
25,depolarize,0.195,6,3,4000,1274,10910.49943378102,GPA-2-13,3789575
25,depolarize,0.16,6,3,4000,196,10990.046683090739,GPA-2-13,3789552
25,depolarize,0.16,6,4,8000,351,21226.378213883378,GPA-2-13,3789567
25,depolarize,0.17,6,4,8000,635,21266.935567165725,GPA-2-13,3789560
25,depolarize,0.195,6,4,8000,2591,21464.34809774533,GPA-2-13,3789565
25,depolarize,0.2,6,4,8000,2901,21487.8665157808,GPA-2-13,3789563
25,depolarize,0.185,6,4,8000,1586,21571.384263974614,GPA-2-13,3789568
25,depolarize,0.165,6,4,8000,501,21636.144471975975,GPA-2-13,3789559
25,depolarize,0.175,6,4,8000,913,21697.58336250484,GPA-2-13,3789576
25,depolarize,0.18,6,4,8000,1248,21877.587859673426,GPA-2-13,3789569
25,depolarize,0.19,6,4,8000,2043,22264.688920104876,GPA-2-13,3789572
25,depolarize,0.18,6,5,16000,2472,41866.656217583455,GPA-2-13,3789584
25,depolarize,0.175,6,5,16000,1884,42610.42023650557,GPA-2-13,3789583
25,depolarize,0.16,6,5,16000,696,42832.64461986162,GPA-2-13,3789580
25,depolarize,0.195,6,5,16000,5058,43311.612888621166,GPA-2-13,3789594
25,depolarize,0.185,6,5,16000,3155,43321.293093441054,GPA-2-13,3789591
25,depolarize,0.165,6,5,16000,1006,43435.205317857675,GPA-2-13,3789566
25,depolarize,0.2,6,5,16000,5908,43563.44487522822,GPA-2-13,3789579
25,depolarize,0.17,6,5,16000,1330,43587.55140842311,GPA-2-13,3789587
25,depolarize,0.19,6,5,16000,4215,43604.052529534325,GPA-2-13,3789589
25,depolarize,0.19,6,6,32000,8119,84194.65185801778,GPA-2-13,3789582
25,depolarize,0.195,6,6,32000,10017,84927.68742524087,GPA-2-13,3789595
25,depolarize,0.17,6,6,32000,2718,85176.21507539041,GPA-2-13,3789596
25,depolarize,0.165,6,6,32000,1964,86001.36059146188,GPA-2-13,3789593
